"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Vox","Unidas Podemos","Cs","ERC-Sobiranistes","Mas Pais","JxCat","PNV","EH Bildu","CUP","CC-NCa","BNG","NA+","PRC","v1x2","last_day","fuente","titular","urlDW"
"99","Invymark/laSexta","25-29 May 2020",NA,NA,26.9,20,15.5,13.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.9",2020-05-29,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-conseguiria-el-269-del-voto-ya-decidido_202005315ed3ac3f4792350001fc65a2.html","Barometro laSexta. El PSOE conseguiria el 26,9% del voto ya decidido","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"100","DYM/Henneo","21-24 May 2020",1041,NA,25.1,22,15.8,11.3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.1",2020-05-24,"https://www.20minutos.es/noticia/4271071/0/encuesta-dym-intencion-voto-psoe-pp-coronavirus/","La oposicion acorta distancias con la coalicion en la crisis del coronavirus","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"101","ElectoPanel/Electomania","18-23 May 2020",4500,NA,26.4,25.4,13.9,11.5,7.2,3.4,1.9,2.7,1.4,1.1,0.8,0.5,0.5,"0.4","0.2","1.0",2020-05-23,"https://electomania.es/ep24my20/","ElectoPanel Generales (24My): ligera recuperacion de la izquierda que acerca mas los bloques","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"102","KeyData/Publico","17 May 2020",NA,65.3,27.8,23.3,14.1,12.1,6.8,3.5,1.6,2.2,1.6,1.1,1,0.5,NA,NA,NA,"4.5",2020-05-17,"https://www.publico.es/politica/sondeos-pp-saca-redito-pandemia-alcanzaria-100-escanos-aranandole-votos-vox.html","Sondeos: El PP saca redito de la pandemia y alcanzaria los 100 escanos, aranandole votos a Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"103","Sigma Dos/Antena 3","17 May 2020",NA,NA,29.7,26.4,11.8,11.4,6,3.6,1,1.9,1.9,NA,NA,NA,NA,NA,NA,"3.3",2020-05-17,"https://www.antena3.com/noticias/espana/barometro-psoe-suben-intencion-voto-populares-recortando-distancia-mientras-bajan-podemos-vox-crisis-coronavirus_202005175ec13229ee59440001c35116.html","Barometro: PP y PSOE suben en intencion de voto con los populares recortando distancia, mientras bajan Podemos y Vox durante la crisis del coronavirus","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/Antena 3 </a>"
"104","NC Report/La Razon","12-16 May 2020",1000,62.1,26,24.9,14.6,12.5,5.2,3.6,NA,2.6,1.7,1.2,NA,NA,NA,NA,NA,"1.1",2020-05-16,"https://www.larazon.es/espana/20200518/53t7cmdsavfgtfsepscbzbgs6m.html","Castigo al Gobierno: Casado alcanza a Sanchez","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"105","Hamalgama Metrica/OKDiario","12-15 May 2020",1000,NA,26.1,25.4,15.3,11.6,4,3.7,1.5,2.4,1.6,1.2,NA,NA,NA,"0.4",NA,"0.7",2020-05-15,"https://okdiario.com/espana/casado-ganaria-hoy-elecciones-psoe-pierde-10-escanos-giro-arrimadas-hunde-cs-5619863","Casado ganaria hoy las elecciones, el PSOE perderia 10 escanos y el giro de Arrimadas hundiria a Cs","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Hamalgama Metrica/OKDiario </a>"
"106","GESOP/El Periodico","11-15 May 2020",750,NA,27.5,22.8,14,11.3,6.5,3.4,NA,2.1,1.8,1.2,NA,NA,NA,NA,NA,"4.7",2020-05-15,"https://www.elperiodico.com/es/politica/20200517/encuesta-gesop-miedo-futuro-economico-no-agita-mapa-politico-7965146","El miedo al futuro economico no agita el mapa politico","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GESOP/El Periodico </a>"
"107","SW Demoscopia/Grupo Viva","8-15 May 2020",2000,NA,28.1,21.2,15.8,11.8,8.9,3.7,1.5,2.4,1.5,0.9,0.8,0.4,NA,"0.4","0.2","6.9",2020-05-15,"https://andaluciainformacion.es/?a=899126&i=1","El PSOE se mantiene ante un PP que sube pero no rentabiliza la crisis","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia/Grupo Viva </a>"
"108","GIPEyOP","28 Apr-14 May 2020",8387,64.9,27.3,21.2,15.8,13,5.6,3.8,2.3,1.8,1.5,1.5,1.4,0.7,0.9,"0.6",NA,"6.1",2020-05-14,"https://www.uv.es/pavia/Informe_Encuesta_COVID19.pdf","Informe Preliminar GIPEyOP. Encuesta COVID-19","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GIPEyOP </a>"
"109","Metroscopia","11-13 May 2020",NA,NA,28,24,13,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.0",2020-05-13,"https://elpais.com/espana/2020-05-13/las-polemicas-de-diaz-ayuso-revientan-la-estrategia-del-pp.html","Las polemicas de Diaz Ayuso revientan la estrategia del PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Metroscopia </a>"
"110","ElectoPanel/Electomania","11-13 May 2020",1738,NA,26.1,25.3,14.1,11.4,7.4,3.3,1.8,2.7,1.3,1.2,0.8,0.5,0.6,"0.4","0.3","0.8",2020-05-13,"https://electomania.es/ep13my20/","ElectoPanel (13My): sorpasso del PP al PSOE en escanos. Los diputados del PNV podrian decantar la balanza","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"111","Intercampo/CIS","4-13 May 2020",3800,NA,31.1,20.3,11.3,11.5,10.5,2.9,1.4,1.2,1.3,0.7,0.7,0.4,0.5,"0.3","0.2","10.8",2020-05-13,"http://datos.cis.es/pdf/Es3281marMT_A.pdf","Barometro especial de mayo 2020 (Estudio nº 3281. Mayo 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Intercampo/CIS </a>"
"112","CIS (SocioMetrica)","4-13 May 2020",3800,68.1,29.8,22.3,11.8,12,9.9,2.7,2,1.3,1.3,0.7,0.8,0.4,0.5,"0.4","0.3","7.5",2020-05-13,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"113","Demoscopia y Servicios/ESdiario","7-9 May 2020",1200,NA,25.1,23.9,15.2,13.6,6.4,3.2,1.4,2.7,1.5,1.3,1.2,0.4,0.5,"0.4","0.3","1.2",2020-05-09,"https://www.esdiario.com/328998126/Sondeo-ESdiario-el-desgaste-del-PSOE-coloca-al-PP-a-punto-del-vuelco-electoral.html","Sondeo ESdiario: el desgaste del PSOE coloca al PP a punto del vuelco electoral","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Demoscopia y Servicios/ESdiario </a>"
"114","SW Demoscopia","5-8 May 2020",1104,NA,28.4,20.3,16.2,12,9,3.5,1.2,2.3,1.5,0.9,0.8,0.4,NA,"0.4","0.2","8.1",2020-05-08,"http://swdemoscopia.com/2020/05/08/barometro-de-mayo-de-sw-demoscopia/","Barometro de mayo de SW Demoscopia","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia </a>"
"115","Celeste-Tel/eldiario.es","4-8 May 2020",1100,62.3,27.4,22.2,15.6,12.9,6.5,3.7,1.6,2.5,1.6,1.2,0.8,0.4,0.5,"0.4","0.3","5.2",2020-05-08,"https://www.eldiario.es/politica/PP-escanos-partidos-Gobierno-coronavirus_0_1026447567.html","La crisis del coronavirus impulsa a Casado: PP y Vox alcanzan en escanos a PSOE y Unidas Podemos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/eldiario.es </a>"
"116","Simple Logica","4-8 May 2020",1019,63.8,30.8,21.7,11.8,12.2,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.1",2020-05-08,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-mayo-2020/","Intencion de voto y valoracion de lideres politicos (mayo 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"117","GAD3/ABC","4-8 May 2020",1004,66,28.7,27.1,11.7,10.9,5.9,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,"1.6",2020-05-08,"https://www.abc.es/espana/abci-pp-sube-hasta-115-escanos-y-pone-peligro-mayoria-psoe-202005102332_noticia.html","El PP sube hasta los 115 escanos y pone en peligro la mayoria del PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/ABC </a>"
"118","ElectoPanel/Electomania","2-7 May 2020",4753,NA,26.3,24.9,14.1,11.4,7.6,3.3,1.8,2.7,1.3,1.2,0.8,0.5,0.6,"0.4","0.3","1.4",2020-05-07,"https://electomania.es/epgen8my20","ElectoPanel (8My): el bloque de derechas con opciones reales de gobernar","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"119","Sinaptica/Publico","28 Apr-4 May 2020",1001,NA,25.1,22.3,15.7,13.1,7.5,3.3,2.2,2.6,1.2,1.6,1.3,NA,NA,NA,NA,"2.8",2020-05-04,"https://www.publico.es/politica/sondeo-pandemia-quema-psoe-aupa-pp-unidas-resiste.html","Sondeo. La pandemia 'quema' al PSOE y aupa al PP, pero Unidas Podemos resiste","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sinaptica/Publico </a>"
"120","Invymark/laSexta","27 Apr-1 May 2020",NA,NA,27.9,20.4,17,12.3,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5",2020-05-01,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-sanitarios-mas-valorados-crisis-coronavirus-monarquia-suspende_202005045eaff0a980205c0001ff6619.html","Barometro laSexta: los sanitarios, los mas valorados durante la crisis del coronavirus y la monarquia suspende","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"121","NC Report/La Razon","27-30 Apr 2020",1000,62.5,26.3,23.2,15.4,13,6.2,3.5,1.7,2.7,1.6,1.1,0.9,0.5,0.5,"0.4","0.3","3.1",2020-04-30,"https://www.larazon.es/espana/20200504/aepsm5clbrgchia5knctxzv2bm.html","Encuesta NC Report: Sanchez pierde casi 800.000 votos en la crisis del Covid-19","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"122","ElectoPanel/Electomania","26-29 Apr 2020",1480,NA,27.4,23.8,14.2,11.4,7.3,3.4,1.8,2.7,1.4,1.2,0.9,0.5,0.6,"0.4","0.3","3.6",2020-04-29,"https://electomania.es/ep30a20/","ElectoPanel (30A): bajada de la izquierda","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"123","DYM/Henneo","23-25 Apr 2020",1000,NA,25.1,22.4,15.3,12.1,7.8,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,"2.7",2020-04-25,"https://www.20minutos.es/noticia/4241207/0/psoe-desgaste-crisis-pp-podemos-encuesta-coronavirus/","La gestion de la crisis pasa factura al PSOE, apenas desgasta a Unidas Podemos y sube al PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"124","SocioMetrica/El Espanol","21-24 Apr 2020",1200,NA,28.2,25.4,14.5,11,7.5,3.2,1.2,2.4,1.5,1,0.7,0.3,0.4,"0.3","0.3","2.8",2020-04-24,"https://www.elespanol.com/espana/politica/20200426/pp-puntos-escanos-psoe-caidas-podemos-vox/485202091_0.html","El PP a solo tres puntos y nueve escanos del PSOE con caidas de Podemos y Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SocioMetrica/El Espanol </a>"
"125","Metroscopia","20-24 Apr 2020",NA,NA,26.7,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.6",2020-04-24,"https://cincodias.elpais.com/cincodias/2020/09/24/opinion/1600954147_716480.html","Tiempos revueltos, tiempos propicios para Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Metroscopia </a>"
"126","ElectoPanel/Electomania","20-22 Apr 2020",1500,NA,28.3,23.7,13.8,11.6,7.1,3.6,1.7,2.4,1.3,1.2,0.9,0.5,0.6,"0.4","0.3","4.6",2020-04-22,"https://electomania.es/ep22a20/","ElectoPanel (22A): empate maximo entre bloques. Descenso de Ciudadanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"127","KeyData/Publico","17 Apr 2020",NA,69.3,28.2,22.3,14.5,12.4,6.4,3.4,1.9,2,1.5,1,1,0.4,NA,NA,NA,"5.9",2020-04-17,"https://www.publico.es/politica/sondeos-pandemia-frena-vox-favor-pp-afianza-mayoria-progresista.html","La pandemia frena a Vox en favor del PP y afianza la mayoria progresista","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"128","Hamalgama Metrica/OKDiario","14-17 Apr 2020",1000,63.4,26.8,22.7,15,13.4,5.3,3.6,1.6,2.5,1.6,1.2,NA,NA,NA,NA,NA,"4.1",2020-04-17,"https://okdiario.com/espana/casado-queda-10-escanos-sanchez-que-pierde-8-derecha-saca-ya-11-frente-popular-5482463","Casado se queda a 10 escanos de un Sanchez que pierde 8 y la derecha le saca ya 11 al Frente Popular","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Hamalgama Metrica/OKDiario </a>"
"129","Sigma Dos/El Mundo","13-15 Apr 2020",1000,NA,31.7,25.4,11.9,11.5,5.4,3.6,1.3,1.9,1.9,NA,NA,NA,NA,NA,NA,"6.3",2020-04-15,"https://www.elmundo.es/espana/2020/04/19/5e9b7c57fc6c83684b8b45b3.html","La crisis del coronavirus refuerza el bipartidismo y castiga a Vox y a Podemos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/El Mundo </a>"
"130","ElectoPanel/Electomania","8-14 Apr 2020",3500,NA,28.1,23.6,13.9,11.5,7.5,3.6,1.8,2.4,1.3,1.1,0.9,0.5,0.6,"0.4","0.3","4.5",2020-04-14,"https://electomania.es/ep17a20/","ElectoPanel (17A): el PSOE recupera terreno. Bajan Cs, UP y Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"131","ElectoPanel/Electomania","2-7 Apr 2020",2115,NA,25.9,23.5,14.3,11.9,8.3,3.7,1.9,2.5,1.4,1.2,0.9,0.6,0.6,"0.4","0.3","2.4",2020-04-07,"https://electomania.es/ep8a20/","ElectoPanel (8A): ligero repunte del bipartidismo. El PSOE recupera algunos escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"132","Simple Logica","1-7 Apr 2020",1057,64.5,28.2,22.2,16,11,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.0",2020-04-07,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-abril-2020/","Intencion de voto y valoracion de lideres politicos (abril 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"133","Celeste-Tel/eldiario.es","1-7 Apr 2020",1100,62.6,27.9,20.5,16.3,13.7,6.9,3.7,1.7,2.3,1.5,1.2,1,0.5,0.5,"0.4","0.3","7.4",2020-04-07,"https://www.eldiario.es/politica/Vox-PSOE-Unidas-Podemos-elecciones_0_1016299038.html","Vox roza los 60 diputados, el PSOE se mantiene y Unidas Podemos sube respecto a las elecciones de noviembre","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/eldiario.es </a>"
"134","Intercampo/CIS","30 Mar-7 Apr 2020",3000,NA,31.2,21.1,13,12,7.6,3.3,1.5,1.4,1.2,0.5,0.6,0.4,0.5,"0.3","0.2","10.1",2020-04-07,"http://datos.cis.es/pdf/Es3279mar_A.pdf","Barometro especial de abril 2020 (Estudio nº 3279. Abril 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Intercampo/CIS </a>"
"135","CIS (SocioMetrica)","30 Mar-7 Apr 2020",3000,69,30.6,23,13.9,12.3,7.1,3.6,1.2,1.4,1.3,0.6,0.5,0.3,0.4,"0.4","0.2","7.6",2020-04-07,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"136","Sigma Dos/Antena 3","25 Mar-1 Apr 2020",NA,NA,32.2,24.3,13.8,11,4.4,3.7,1.5,1.9,1.8,NA,NA,NA,NA,NA,NA,"7.9",2020-04-01,"https://www.antena3.com/noticias/espana/encuesta-crisis-coronavirus-refuerza-bipartidismo-eleva-intencion-voto-psoe_202004075e8c7489b328c6000142df78.html","Encuesta: La crisis del coronavirus refuerza el bipartidismo y eleva la intencion de voto a PP y PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/Antena 3 </a>"
"137","SW Demoscopia","27-31 Mar 2020",1102,NA,25.5,21.6,16.9,12.6,5.1,3.8,2.3,2.6,1.7,1.2,0.9,0.6,NA,"0.5","0.3","3.9",2020-03-31,"http://swdemoscopia.com/2020/04/01/barometro-abril-sw-demoscopia/","Barometro Abril SW Demoscopia","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia </a>"
"138","KeyData/Publico","30 Mar 2020",NA,69.3,27.9,20.8,16,13.6,6.2,3.5,2,2.1,1.6,1,1,0.5,NA,NA,NA,"7.1",2020-03-30,"https://www.publico.es/politica/encuesta-electoral-pandemia-vox-seguia-auge-remontaba-sondeos.html","Antes de la pandemia, Vox seguia en auge y Podemos remontaba, segun los sondeos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"139","ElectoPanel/Electomania","26-30 Mar 2020",2500,NA,25.2,23.2,14.2,12,8.9,3.8,2,2.6,1.3,1.2,0.9,0.6,0.7,"0.4","0.2","2.0",2020-03-30,"https://electomania.es/ep30m2020/","ElectoPanel (en abierto): la derecha supera al bloque de izquierdas en 7p y casi 30 escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"140","DYM/Henneo","26-27 Mar 2020",1001,NA,26.8,23.1,14.4,11.8,7.2,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,"3.7",2020-03-27,"https://www.diariodeleon.es/articulo/afondo/votantes-censuran-gobierno-suspenden-todos-lideres-politicos/202004020132222001108.html","Los votantes censuran al Gobierno y suspenden a todos los lideres politicos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"141","SyM Consulting/La Nueva Cronica","23-26 Mar 2020",3104,70.7,26.2,19.9,15.7,11.8,5.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3",2020-03-26,"https://www.lanuevacronica.com/el-psoe-baja-pero-ganaria-las-elecciones","El PSOE baja pero ganaria las elecciones","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SyM Consulting/La Nueva Cronica </a>"
"142","Demoscopia y Servicios/ESdiario","16-17 Mar 2020",1000,65.2,24.5,23.4,14.5,13.6,8.3,3,1.3,2.8,1.6,1.2,1.3,0.5,0.5,"0.4","0.3","1.1",2020-03-17,"https://www.esdiario.com/92368796/Sondeo-ESdiario-el-PSOE-se-hunde-por-la-tardia-reaccion-de-Sanchez-al-Covid-19.html","Sondeo ESdiario: el PSOE se hunde por la tardia reaccion de Sanchez al Covid-19","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Demoscopia y Servicios/ESdiario </a>"
"143","ElectoPanel/Electomania","12-13 Mar 2020",1200,NA,25.5,21.7,15.1,13.4,7.8,3.8,1.8,2.7,1.4,1.2,1,0.5,0.8,"0.4","0.3","3.8",2020-03-13,"https://electomania.es/ep14m-2020/","ElectoPanel (14M): giro a la derecha en plena crisis del COVID-19","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"144","CIS","1-13 Mar 2020",3912,NA,31.9,19.6,14.8,12.9,7.2,2.4,1.2,1.2,1.5,1.2,0.5,0.4,0.6,"0.4","0.1","12.3",2020-03-13,"http://datos.cis.es/pdf/Es3277marMT_A.pdf","Barometro de marzo 2020 (Estudio nº 3277. Marzo 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"145","Simple Logica","2-6 Mar 2020",1029,67.6,27.7,20.9,15.1,14.9,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8",2020-03-06,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-marzo-2020/","Intencion de voto y valoracion de lideres politicos (marzo 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"146","Invymark/laSexta","2-6 Mar 2020",NA,NA,28.8,21.1,17.6,13.2,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7",2020-03-06,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-generales-con-el-288-de-los-votos_202003075e63ae1e7795c700018e83bb.html","Barometro laSexta. El PSOE ganaria las elecciones generales con el 28,8% de los votos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"147","SocioMetrica/El Espanol","5 Mar 2020",NA,NA,27.9,21,16.4,12.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.9",2020-03-05,"https://www.elespanol.com/espana/politica/20200417/encuesta-continua-coronavirus-espanoles-desaprueba-sanchez-psoe/483202529_0.html","Encuesta continua sobre el Covid-19: evolucion de la opinion sobre la crisis","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SocioMetrica/El Espanol </a>"
